localidad;estrato;valor_ant;unidades_ant;no_pago_ultimo;cluster;no_paga_sig_mes
1;3;98904,90862894102;329,68302876313675;0;0;0
0;5;156759,91012192576;313,51982024385154;1;0;0
1;2;55528,22113057025;277,64110565285125;0;3;0
0;2;52125,26696584117;260,62633482920586;0;3;0
1;5;184358,81859315466;368,71763718630933;1;0;1
0;2;61709,61920646694;308,5480960323347;0;3;0
1;4;354040,9773330968;885,102443332742;1;1;0
1;4;288828,763419563;722,0719085489075;1;1;0
0;5;96434,19313319454;192,86838626638908;0;0;0
1;4;187615,0279595762;469,0375698989405;1;1;1
0;7;107991,83361131714;308,5480960323347;0;0;0
1;4;444142,603529165;1110,3565088229125;1;1;0
1;5;154274,04801616733;308,5480960323347;1;0;0
1;1;48068,72649898161;240,34363249490804;0;2;0
1;5;166492,18175591106;332,98436351182215;1;0;1
1;3;105519,00898489151;351,7300299496384;0;0;0
1;2;147690,18257617002;738,4509128808501;1;3;0
0;1;65705,12982619398;328,5256491309699;0;2;0
1;3;75112,89420007305;250,3763140002435;0;0;0
1;2;94320,19013515617;471,60095067578084;0;3;0
0;2;165207,19216502822;826,035960825141;1;3;0
0;4;95634,11758940277;239,0852939735069;0;1;0
1;7;107991,83361131714;308,5480960323347;0;0;0
0;2;33113,91578856717;165,56957894283585;0;3;0
1;4;256674,5090229912;641,686272557478;1;1;0
0;2;49269,37113412366;246,3468556706183;0;3;0
0;4;123419,23841293388;308,5480960323347;0;1;0
0;1;74631,5532470382;373,157766235191;0;2;0
1;1;96616,78004742415;483,08390023712076;0;2;0
1;4;123419,23841293388;308,5480960323347;0;1;0
1;5;218545,89053463133;437,09178106926265;1;0;1
1;1;63636,40153513768;318,1820076756884;0;2;0
1;3;120336,70208612381;401,1223402870794;0;0;0
0;1;84773,30965376436;423,86654826882176;0;2;0
1;5;273460,5621959579;546,9211243919158;1;0;0
1;7;137258,01215557192;392,1657490159198;1;0;0
1;4;157071,0044804915;392,67751120122875;1;1;1
1;1;70619,47527836998;353,09737639184993;0;2;0
0;4;123419,23841293388;308,5480960323347;0;1;0
1;3;45009,712046354;150,03237348784666;0;0;0
1;5;246267,2356473909;492,5344712947818;1;0;0
1;3;101133,16410129354;337,1105470043118;0;0;0
0;3;68391,0435594953;227,97014519831765;0;0;0
1;2;56256,47905917417;281,28239529587086;0;3;0
0;4;123419,23841293388;308,5480960323347;0;1;0
0;4;123419,23841293388;308,5480960323347;0;1;0
1;1;49186,309374219505;245,9315468710975;0;2;0
1;3;77304,0602141933;257,6802007139777;0;0;0
1;3;28642,533675431525;95,47511225143842;0;0;0
1;3;78572,03134360965;261,9067711453655;0;0;0
1;2;74412,43170233458;372,0621585116729;0;3;0
0;2;56700,56323192922;283,5028161596461;0;3;0
